ticker,origin,model,horizon,mape,dir_acc,error
AMZN,2025-05-08,arima,5,0.08139718661776034,0.0,
AMZN,2025-05-08,chronos,5,0.06746041839233549,1.0,
AMZN,2025-05-08,naive,21,0.08408557862828772,0.0,
AMZN,2025-05-08,gbm,21,0.08522689104569738,0.0,
AMZN,2025-05-08,arima,21,0.08269710719257885,0.0,
AMZN,2025-05-08,chronos,21,0.050259357524033765,1.0,
AMZN,2025-07-10,naive,5,0.010141736758508,1.0,
AMZN,2025-07-10,gbm,5,0.010518622082569536,1.0,
AMZN,2025-07-10,arima,5,0.009401978699691681,1.0,
AMZN,2025-07-10,chronos,5,0.006087874065286868,1.0,
AMZN,2025-07-10,naive,21,0.024745743577251234,1.0,
AMZN,2025-07-10,gbm,21,0.025646280228341024,1.0,
AMZN,2025-07-10,arima,21,0.02446566757712057,1.0,
AMZN,2025-07-10,chronos,21,0.024864854177879342,1.0,
AMZN,2025-09-09,naive,5,0.021989141418807055,1.0,
AMZN,2025-09-09,gbm,5,0.02173122435065541,1.0,
AMZN,2025-09-09,arima,5,0.022883791327566964,1.0,
AMZN,2025-09-09,chronos,5,0.03730280348270814,0.0,
AMZN,2025-09-09,naive,21,0.048296422473651054,1.0,
AMZN,2025-09-09,gbm,21,0.04932204528345536,1.0,
AMZN,2025-09-09,arima,21,0.052243403399121924,1.0,
AMZN,2025-09-09,chronos,21,0.0675726135638247,0.0,
AMZN,2025-11-06,naive,5,0.02260817537433887,0.0,
AMZN,2025-11-06,gbm,5,0.02248563000851183,0.0,
AMZN,2025-11-06,arima,5,0.023403128334515497,0.0,
AMZN,2025-11-06,chronos,5,0.021159347854090436,0.0,
AMZN,2025-11-06,naive,21,0.07836350192780352,0.0,
AMZN,2025-11-06,gbm,21,0.07987036597124525,0.0,
AMZN,2025-11-06,arima,21,0.08257513524189991,0.0,
AMZN,2025-11-06,chronos,21,0.05524799928087587,1.0,
AMZN,2026-01-08,naive,5,0.016534748582285246,1.0,
AMZN,2026-01-08,gbm,5,0.01677927647448995,1.0,
AMZN,2026-01-08,arima,5,0.01672790525878289,1.0,
AMZN,2026-01-08,chronos,5,0.017716526794541273,1.0,
AMZN,2026-01-08,naive,21,0.03386969045333806,1.0,
AMZN,2026-01-08,gbm,21,0.034687989748939704,1.0,
AMZN,2026-01-08,arima,21,0.03573198962269849,1.0,
AMZN,2026-01-08,chronos,21,0.037707820200823715,1.0,
AMZN,2026-03-11,naive,5,0.01850090689658994,0.0,
AMZN,2026-03-11,gbm,5,0.018318971938497335,0.0,
AMZN,2026-03-11,arima,5,0.018843351465907026,0.0,
AMZN,2026-03-11,chronos,5,0.029190643414635446,0.0,
AMZN,2026-03-11,naive,21,0.033201955781843415,1.0,
AMZN,2026-03-11,gbm,21,0.032271420632655354,1.0,
AMZN,2026-03-11,arima,21,0.03448067410416658,1.0,
AMZN,2026-03-11,chronos,21,0.05807704905269679,1.0,
META,2025-05-08,naive,5,0.0664366493306893,0.0,
META,2025-05-08,gbm,5,0.06662198443080788,0.0,
META,2025-05-08,arima,5,0.0649432626157365,1.0,
META,2025-05-08,chronos,5,0.05955513029185892,1.0,
META,2025-05-08,naive,21,0.08383884811826632,0.0,
META,2025-05-08,gbm,21,0.08168542535577347,1.0,
META,2025-05-08,arima,21,0.07737782067639895,1.0,
META,2025-05-08,chronos,21,0.07486516795021794,0.0,
META,2025-07-10,naive,5,0.03129407122506327,0.0,
META,2025-07-10,gbm,5,0.03189228849038472,0.0,
META,2025-07-10,arima,5,0.03375764209721348,0.0,
META,2025-07-10,chronos,5,0.04370269195427902,0.0,
META,2025-07-10,naive,21,0.03690100963271623,1.0,
META,2025-07-10,gbm,21,0.035009549536356335,1.0,
META,2025-07-10,arima,21,0.03636182238039787,1.0,
META,2025-07-10,chronos,21,0.03982695067456358,1.0,
META,2025-09-09,naive,5,0.01142686607674832,0.0,
META,2025-09-09,gbm,5,0.011273824687967686,0.0,
META,2025-09-09,arima,5,0.009970686974640434,0.0,
META,2025-09-09,chronos,5,0.012313114569600454,0.0,
META,2025-09-09,naive,21,0.025351545491057843,1.0,
META,2025-09-09,gbm,21,0.02878326864083423,1.0,
META,2025-09-09,arima,21,0.030173035345702197,1.0,
META,2025-09-09,chronos,21,0.03066105401862013,0.0,
META,2025-11-06,naive,5,0.026129309633616093,0.0,
META,2025-11-06,gbm,5,0.026196998146110338,0.0,
META,2025-11-06,arima,5,0.02815883980479609,0.0,
META,2025-11-06,chronos,5,0.05315786647129208,0.0,
META,2025-11-06,naive,21,0.03583757699021409,1.0,
META,2025-11-06,gbm,21,0.03408639609252795,1.0,
META,2025-11-06,arima,21,0.0362175549426608,1.0,
META,2025-11-06,chronos,21,0.07391287789992848,1.0,
META,2026-01-08,naive,5,0.028772578954752225,0.0,
META,2026-01-08,gbm,5,0.028636371924172142,0.0,
META,2026-01-08,arima,5,0.030521821432142375,0.0,
META,2026-01-08,chronos,5,0.029041780602286293,0.0,
META,2026-01-08,naive,21,0.04398851779776676,1.0,
META,2026-01-08,gbm,21,0.04155022648100162,1.0,
META,2026-01-08,arima,21,0.03992339877314954,1.0,
META,2026-01-08,chronos,21,0.03184035709011177,1.0,
META,2026-03-11,naive,5,0.04863766289312392,1.0,
META,2026-03-11,gbm,5,0.04869269416944781,0.0,
META,2026-03-11,arima,5,0.05059864208638093,0.0,
META,2026-03-11,chronos,5,0.060307429891440736,0.0,
META,2026-03-11,naive,21,0.10420766049439542,1.0,
META,2026-03-11,gbm,21,0.10693829364961258,0.0,
META,2026-03-11,arima,21,0.11190167715351619,0.0,
META,2026-03-11,chronos,21,0.11147296387734615,0.0,
GOOGL,2025-05-08,naive,5,0.053212124045439776,0.0,
